m_id,brite_dev_id,m_datetime,power_factor,volt,amp,accu_kWh,saved_kWh,accum_op_time,power
3104092,352,"2016-11-13 00:00:47",0.61,113.6,0.031,0.6,0,42.42,2.1481759864144316
3104120,352,"2016-11-13 00:01:46",0.62,113.5,0.031,0.6,0,42.44,2.1814699811252947
3104149,352,"2016-11-13 00:02:46",0.62,113.6,0.031,0.6,0,42.45,2.1833919517812728
3104178,352,"2016-11-13 00:03:46",0.61,113.6,0.031,0.6,0,42.47,2.1481759864144316
3104207,352,"2016-11-13 00:04:46",0.6,113.5,0.032,0.6,0,42.49,2.1792001901000777
3104236,352,"2016-11-13 00:05:46",0.61,113.5,0.031,0.6,0,42.5,2.146285015255361
3104267,352,"2016-11-13 00:06:46",0.61,113.6,0.031,0.6,0,42.52,2.1481759864144316
3104298,352,"2016-11-13 00:07:46",0.61,113.6,0.031,0.6,0,42.53,2.1481759864144316
3104330,352,"2016-11-13 00:08:46",0.6,113.5,0.032,0.6,0,42.55,2.1792001901000777
3104362,352,"2016-11-13 00:09:46",0.61,113.3,0.031,0.6,0,42.57,2.14250307293722
3104393,352,"2016-11-13 00:10:48",0.61,113.5,0.031,0.6,0,42.58,2.146285015255361
3104423,352,"2016-11-13 00:11:46",0.61,113.5,0.031,0.6,0,42.6,2.146285015255361
3104452,352,"2016-11-13 00:12:46",0.6,113.3,0.031,0.6,0,42.62,2.107380106061101
3104481,352,"2016-11-13 00:13:46",0.61,113.5,0.031,0.6,0,42.63,2.146285015255361
3104510,352,"2016-11-13 00:14:46",0.59,113.2,0.032,0.6,0,42.65,2.1372159488939
3104539,352,"2016-11-13 00:15:46",0.61,113.4,0.031,0.6,0,42.66,2.1443940440962903
3104568,352,"2016-11-13 00:16:46",0.62,113.6,0.031,0.6,0,42.68,2.1833919517812728
3104598,352,"2016-11-13 00:17:46",0.6,113.4,0.031,0.6,0,42.7,2.109240077723264
3104627,352,"2016-11-13 00:18:46",0.61,113.4,0.031,0.6,0,42.71,2.1443940440962903
3104656,352,"2016-11-13 00:19:46",0.61,113.5,0.031,0.6,0,42.73,2.146285015255361
3104685,352,"2016-11-13 00:20:46",0.61,113.4,0.031,0.6,0,42.75,2.1443940440962903
3104715,352,"2016-11-13 00:21:46",0.6,113.6,0.031,0.6,0,42.76,2.11296002104759
3104744,352,"2016-11-13 00:22:46",0.62,113.6,0.031,0.6,0,42.78,2.1833919517812728
3104773,352,"2016-11-13 00:23:46",0.61,113.3,0.031,0.6,0,42.8,2.14250307293722
3104802,352,"2016-11-13 00:24:46",0.62,113.7,0.031,0.6,0,42.81,2.185313922437251
3104831,352,"2016-11-13 00:25:46",0.6,113.6,0.031,0.6,0,42.83,2.11296002104759
3104860,352,"2016-11-13 00:26:46",0.62,113.4,0.031,0.6,0,42.85,2.179548010469317
3104889,352,"2016-11-13 00:27:46",0.62,113.6,0.031,0.6,0,42.86,2.1833919517812728
3104919,352,"2016-11-13 00:28:46",0.59,113.4,0.032,0.6,0,42.88,2.1409920353311853
3104948,352,"2016-11-13 00:29:46",0.61,113.5,0.031,0.6,0,42.89,2.146285015255361
3104977,352,"2016-11-13 00:30:48",0.61,113.6,0.031,0.6,0,42.91,2.1481759864144316
3105006,352,"2016-11-13 00:31:46",0.62,113.4,0.031,0.6,0,42.93,2.179548010469317
3105035,352,"2016-11-13 00:32:46",0.61,113.4,0.031,0.6,0,42.94,2.1443940440962903
3105065,352,"2016-11-13 00:33:46",0.61,113.4,0.031,0.6,0,42.96,2.1443940440962903
3105095,352,"2016-11-13 00:34:46",0.6,113.4,0.031,0.6,0,42.98,2.109240077723264
3105125,352,"2016-11-13 00:35:46",0.59,113.2,0.032,0.6,0,42.99,2.1372159488939
3105155,352,"2016-11-13 00:36:46",0.61,113.3,0.031,0.6,0,43.01,2.14250307293722
3105186,352,"2016-11-13 00:37:46",0.62,113.3,0.031,0.6,0,43.02,2.177626039813339
3105216,352,"2016-11-13 00:38:46",0.59,113,0.032,0.6,0,43.04,2.133440006499584
3105246,352,"2016-11-13 00:39:46",0.61,113.2,0.031,0.6,0,43.06,2.1406119575062976
3105276,352,"2016-11-13 00:40:46",0.61,113.2,0.031,0.6,0,43.07,2.1406119575062976
3105305,352,"2016-11-13 00:41:46",0.59,113.1,0.032,0.6,0,43.09,2.135327977696742
3105334,352,"2016-11-13 00:42:46",0.61,113.3,0.031,0.6,0,43.11,2.14250307293722
3105365,352,"2016-11-13 00:43:46",0.62,114.2,0.031,0.6,0,43.12,2.194923922354102
3105393,352,"2016-11-13 00:44:46",0.62,114.2,0.031,0.6,0,43.14,2.194923922354102
3105422,352,"2016-11-13 00:45:46",0.62,114.2,0.031,0.6,0,43.16,2.194923922354102
3105451,352,"2016-11-13 00:46:46",0.61,114.1,0.031,0.6,0,43.17,2.1576309864816356
3105480,352,"2016-11-13 00:47:46",0.62,114.2,0.031,0.6,0,43.19,2.194923922354102
